,title,audio,tags
0,          Seagull Ambience      ,https://audio-previews.elements.envatousercontent.com/files/227493802/preview.mp3?response-content-disposition=attachment%3B+filename%3D%22R8EVHD3-seagull-ambience.mp3%22,[]
1,          Underwater Ambience       ,https://audio-previews.elements.envatousercontent.com/files/187799459/preview.mp3?response-content-disposition=attachment%3B+filename%3D%22ATMSUWX-underwater-ambience.mp3%22,[]
2,          Refrigerator Ambience      ,https://audio-previews.elements.envatousercontent.com/files/106610708/preview.mp3?response-content-disposition=attachment%3B+filename%3D%22M3TBNJW-refrigerator-ambience.mp3%22,[]
3,          Farm animals in the morning      ,https://assets.mixkit.co/sfx/preview/mixkit-farm-animals-in-the-morning-7.mp3,"['Chicken', 'Horse', 'Cow', 'Bird', 'Farm', 'Ambience', 'Morning', 'Animals', 'Bird', 'Farm', 'Ambience', 'Morning', 'Animals']"
4,          Meadow birds isolated      ,https://assets.mixkit.co/sfx/preview/mixkit-meadow-birds-isolated-28.mp3,"['Ambience', 'Animals', 'Bird']"
5,          Crickets and insects in the wild ambience      ,https://assets.mixkit.co/sfx/preview/mixkit-crickets-and-insects-in-the-wild-ambience-39.mp3,"['Crickets', 'Ambience', 'Wild', 'Insect', 'Insect']"
6,"          Insects, birds and frogs in the swamp ambience      ",https://assets.mixkit.co/sfx/preview/mixkit-insects-birds-and-frogs-in-the-swamp-ambience-40.mp3,"['Water', 'Ambience', 'Insect']"
7,          Natural ambience with flowing water and birds      ,https://assets.mixkit.co/sfx/preview/mixkit-natural-ambience-with-flowing-water-and-birds-61.mp3,"['Water', 'Animals', 'Ambience', 'Bird', 'Bird']"
8,          Forest birds chirp ambiance      ,https://assets.mixkit.co/sfx/preview/mixkit-forest-birds-chirp-ambiance-69.mp3,"['Animals', 'Ambience', 'Forest', 'Bird', 'Forest', 'Bird']"
9,          Pigeon coo ambiance sounds      ,https://assets.mixkit.co/sfx/preview/mixkit-pigeon-coo-ambiance-sounds-74.mp3,"['Ambience', 'Animals', 'Bird']"
10,          Purgatory dark moaning and pain      ,https://assets.mixkit.co/sfx/preview/mixkit-purgatory-dark-moaning-and-pain-293.mp3,"['Ambience', 'Voices']"
11,          Psychedelic fantasy voices      ,https://assets.mixkit.co/sfx/preview/mixkit-psychedelic-fantasy-voices-295.mp3,"['Ambience', 'Choir', 'Magic', 'Voices', 'Voices']"
12,          Swamp and jungle birds ambience      ,https://assets.mixkit.co/sfx/preview/mixkit-swamp-and-jungle-birds-ambience-325.mp3,"['Jungle', 'Wild', 'Bird', 'Ambience', 'Ambience']"
13,          Urban square atmosphere      ,https://assets.mixkit.co/sfx/preview/mixkit-urban-square-atmosphere-346.mp3,"['Walk', 'Public Places', 'Ambience', 'Ambience']"
14,          Urban street and kids      ,https://assets.mixkit.co/sfx/preview/mixkit-urban-street-and-kids-347.mp3,"['Ambience', 'Public Places']"
15,          People bathing in the sea ambience      ,https://assets.mixkit.co/sfx/preview/mixkit-people-bathing-in-the-sea-ambience-348.mp3,"['Public Places', 'Beach', 'Ambience', 'Ambience']"
